Date;Gold;Argent;Platine;Palladium
10.01.2017;2 264,82;31,68;1 869,86;1 455,83
11.01.2017;2 280,67;31,84;1 871,64;1 455,29
12.01.2017;2 297,00;32,23;1 895,55;1 471,95
13.01.2017;2 308,20;32,12;1 893,77;1 444,24
14.01.2017;2 283,58;32,28;1 861,07;1 439,23
17.01.2017;2 304,95;32,12;1 883,82;1 418,13
18.01.2017;2 325,18;32,12;1 898,34;1 434,26
19.01.2017;2 307,12;32,35;1 853,30;1 417,57
20.01.2017;2 296,25;32,67;1 839,52;1 429,25
21.01.2017;2 300,38;32,52;1 832,09;1 442,65
24.01.2017;2 322,00;32,31;1 872,90;1 503,68
25.01.2017;2 309,96;32,63;1 863,88;1 479,30
26.01.2017;2 288,67;32,53;1 882,66;1 489,02
27.01.2017;2 284,59;32,46;1 880,90;1 413,07
28.01.2017;2 296,54;32,7;1 881,14;1 382,73
31.01.2017;2 301,46;32,3;1 891,69;1 408,13
01.02.2017;2 315,82;33,03;1 906,67;1 448,83
02.02.2017;2 346,20;33,53;1 931,25;1 481,40
03.02.2017;2 360,69;33,94;1 934,37;1 463,80
04.02.2017;2 313,26;33,77;1 891,72;1 428,33
07.02.2017;2 306,41;32,62;1 902,74;1 442,15
08.02.2017;2 342,73;33,49;1 912,62;1 436,85
09.02.2017;2 364,18;33,68;1 934,43;1 473,30
10.02.2017;2 356,40;33,66;1 935,60;1 466,88
11.02.2017;2 319,04;33,52;1 897,61;1 464,36
14.02.2017;2 294,96;32,89;1 879,80;1 448,58
15.02.2017;2 282,65;33,36;1 856,34;1 444,24
16.02.2017;2 236,21;32,68;1 821,61;1 423,70
17.02.2017;2 272,45;32,85;1 859,49;1 451,57
18.02.2017;2 300,29;33,54;1 878,92;1 465,71
21.02.2017;2 307,45;33,63;1 869,72;1 447,58
22.02.2017;2 285,64;33,45;1 847,19;1 419,34
23.02.2017;2 286,78;33,06;1 853,45;1 446,91
28.02.2017;2 340,04;34,03;1 911,15;1 439,88
01.03.2017;2 332,97;34,18;1 911,99;1 459,15
02.03.2017;2 338,69;34,31;1 927,56;1 460,21
03.03.2017;2 334,69;34,42;1 898,47;1 457,19
04.03.2017;2 327,25;34,72;1 871,27;1 452,69
07.03.2017;2 309,12;33,12;1 853,07;1 447,95
08.03.2017;2 292,23;33,36;1 817,00;1 442,36
10.03.2017;2 278,48;32,91;1 793,13;1 435,64
11.03.2017;2 278,09;32,63;1 789,65;1 420,30
14.03.2017;2 296,22;32,11;1 796,60;1 429,67
15.03.2017;2 281,23;32,26;1 776,00;1 419,66
16.03.2017;2 284,90;32,31;1 786,49;1 421,59
17.03.2017;2 295,03;31,67;1 801,42;1 430,65
18.03.2017;2 288,71;32,52;1 778,81;1 436,09
21.03.2017;2 270,87;32,05;1 775,44;1 425,51
22.03.2017;2 267,05;31,7;1 771,98;1 442,61
23.03.2017;2 309,07;32,08;1 791,89;1 447,22
24.03.2017;2 307,87;32,51;1 779,12;1 466,57
25.03.2017;2 296,73;32,4;1 770,55;1 482,54
28.03.2017;2 304,33;32,89;1 793,01;1 477,67
29.03.2017;2 294,86;32,84;1 762,82;1 442,47
30.03.2017;2 297,02;33,24;1 750,86;1 453,86
31.03.2017;2 267,37;32,81;1 732,84;1 428,32
01.04.2017;2 234,03;32,49;1 700,22;1 433,94
04.04.2017;2 249,39;32,78;1 720,10;1 440,33
05.04.2017;2 288,60;33,35;1 738,29;1 463,73
06.04.2017;2 250,78;32,81;1 737,73;1 453,80
07.04.2017;2 274,91;33,06;1 738,28;1 462,48
08.04.2017;2 313,70;33,67;1 760,48;1 471,34
11.04.2017;2 313,04;33,1;1 752,86;1 474,25
12.04.2017;2 299,38;32,85;1 728,61;1 446,61
13.04.2017;2 321,61;33,41;1 762,69;1 463,44
14.04.2017;2 340,43;33,78;1 770,66;1 466,75
15.04.2017;2 324,19;33,59;1 764,66;1 460,60
18.04.2017;2 322,38;33,57;1 763,28;1 459,45
19.04.2017;2 312,71;33,15;1 769,18;1 421,82
20.04.2017;2 315,48;32,91;1 760,92;1 399,71
21.04.2017;2 321,52;32,99;1 755,79;1 427,49
22.04.2017;2 316,77;32,51;1 766,28;1 449,90
25.04.2017;2 293,05;32,11;1 741,69;1 442,39
26.04.2017;2 281,14;32,03;1 718,26;1 420,21
27.04.2017;2 290,20;31,85;1 725,41;1 452,03
28.04.2017;2 315,75;31,98;1 734,57;1 470,81
29.04.2017;2 318,58;31,9;1 733,14;1 494,97
03.05.2017;2 299,42;31,04;1 712,02;1 488,64
04.05.2017;2 301,71;30,93;1 677,71;1 479,47
05.05.2017;2 287,51;30,54;1 673,27;1 488,17
06.05.2017;2 332,61;30,62;1 718,31;1 515,05
11.05.2017;2 283,73;30,42;1 689,99;1 488,31
12.05.2017;2 242,15;30,06;1 683,91;1 472,73
13.05.2017;2 256,71;29,96;1 696,35;1 477,64
16.05.2017;2 238,06;30,15;1 682,86;1 468,42
