"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2020","1.387,46","1.393,96","1.403,88","1.382,88","-","-0,79%"
"29.12.2020","1.398,48","1.396,52","1.405,90","1.395,08","-","0,52%"
"28.12.2020","1.391,31","1.379,64","1.396,97","1.379,64","-","0,94%"
"25.12.2020","1.378,36","1.379,84","1.384,06","1.376,62","-","0,00%"
"24.12.2020","1.378,33","1.365,31","1.378,33","1.358,22","-","0,85%"
"23.12.2020","1.366,76","1.338,20","1.367,27","1.335,76","-","1,13%"
"22.12.2020","1.351,43","1.339,03","1.359,91","1.327,89","-","1,16%"
"21.12.2020","1.335,93","1.394,52","1.394,52","1.326,65","-","-4,75%"
"18.12.2020","1.402,50","1.418,81","1.419,41","1.386,34","-","-1,18%"
"17.12.2020","1.419,22","1.407,69","1.434,65","1.407,69","-","1,37%"
"16.12.2020","1.400,05","1.399,42","1.407,86","1.388,15","-","0,69%"
"15.12.2020","1.390,46","1.387,15","1.409,26","1.382,95","-","-0,55%"
"14.12.2020","1.398,12","1.421,88","1.432,73","1.397,49","-","-1,04%"
"11.12.2020","1.412,88","1.404,78","1.413,56","1.395,77","-","0,58%"
"10.12.2020","1.404,68","1.362,07","1.404,68","1.360,06","-","2,35%"
"09.12.2020","1.372,47","1.364,46","1.382,75","1.364,46","-","0,57%"
"08.12.2020","1.364,66","1.362,32","1.375,75","1.354,75","-","-0,31%"
"07.12.2020","1.368,86","1.352,22","1.368,86","1.341,40","-","0,85%"
"04.12.2020","1.357,39","1.342,06","1.358,63","1.342,06","-","1,34%"
"03.12.2020","1.339,41","1.336,84","1.339,41","1.321,42","-","0,30%"
"02.12.2020","1.335,44","1.308,61","1.335,44","1.305,87","-","1,86%"
"01.12.2020","1.311,05","1.283,56","1.312,69","1.283,56","-","2,27%"
"30.11.2020","1.281,97","1.300,14","1.300,14","1.281,00","-","-1,57%"
"27.11.2020","1.302,43","1.303,47","1.306,01","1.291,17","-","-0,36%"
"26.11.2020","1.307,14","1.310,04","1.316,57","1.298,60","-","0,41%"
"25.11.2020","1.301,83","1.298,86","1.309,54","1.287,36","-","1,14%"
"24.11.2020","1.287,12","1.270,34","1.288,71","1.265,88","-","2,41%"
"23.11.2020","1.256,81","1.267,92","1.287,36","1.255,80","-","-0,47%"
"20.11.2020","1.262,69","1.263,65","1.269,02","1.256,21","-","0,30%"
"19.11.2020","1.258,91","1.270,45","1.270,45","1.251,53","-","-1,40%"
"18.11.2020","1.276,75","1.258,77","1.282,07","1.253,23","-","1,45%"
"17.11.2020","1.258,46","1.274,26","1.276,81","1.246,71","-","-0,80%"
"16.11.2020","1.268,61","1.243,10","1.268,61","1.243,10","-","3,33%"
"13.11.2020","1.227,78","1.224,72","1.233,84","1.218,52","-","-0,86%"
"12.11.2020","1.238,45","1.224,64","1.239,78","1.219,15","-","0,38%"
"11.11.2020","1.233,81","1.236,14","1.254,16","1.231,47","-","0,08%"
"10.11.2020","1.232,87","1.224,45","1.240,78","1.212,61","-","-0,28%"
"09.11.2020","1.236,30","1.187,84","1.242,24","1.187,32","-","4,92%"
"06.11.2020","1.178,28","1.163,85","1.178,28","1.151,74","-","0,64%"
"05.11.2020","1.170,74","1.121,24","1.172,14","1.121,24","-","5,65%"
"03.11.2020","1.108,15","1.077,20","1.109,71","1.077,20","-","3,63%"
"02.11.2020","1.069,33","1.062,09","1.075,12","1.039,51","-","0,26%"
"30.10.2020","1.066,60","1.078,02","1.078,37","1.056,02","-","-1,15%"
"29.10.2020","1.078,96","1.075,40","1.091,43","1.062,70","-","0,06%"
"28.10.2020","1.078,29","1.124,23","1.124,23","1.070,68","-","-4,69%"
"27.10.2020","1.131,36","1.146,56","1.151,66","1.126,60","-","-1,82%"
"26.10.2020","1.152,33","1.163,89","1.165,58","1.151,45","-","-1,01%"
"23.10.2020","1.164,06","1.154,25","1.166,51","1.149,13","-","0,76%"
"22.10.2020","1.155,24","1.143,17","1.155,39","1.137,14","-","1,03%"
"21.10.2020","1.143,42","1.145,30","1.151,94","1.136,76","-","0,24%"
"20.10.2020","1.140,69","1.130,26","1.143,82","1.123,08","-","0,49%"
"19.10.2020","1.135,12","1.131,43","1.137,07","1.128,80","-","0,20%"
"16.10.2020","1.132,80","1.137,25","1.138,87","1.121,29","-","0,05%"
"15.10.2020","1.132,29","1.156,18","1.156,44","1.128,06","-","-2,41%"
"14.10.2020","1.160,30","1.157,02","1.164,67","1.151,51","-","0,36%"
"13.10.2020","1.156,11","1.162,18","1.169,80","1.151,18","-","-0,58%"
"12.10.2020","1.162,91","1.163,09","1.169,93","1.155,85","-","-0,12%"
"09.10.2020","1.164,34","1.157,38","1.165,69","1.147,95","-","0,48%"
"08.10.2020","1.158,82","1.150,83","1.158,82","1.148,00","-","1,30%"
"07.10.2020","1.143,95","1.157,93","1.164,69","1.140,53","-","-2,11%"
"06.10.2020","1.168,56","1.163,75","1.176,58","1.157,41","-","0,92%"
"05.10.2020","1.157,86","1.152,56","1.160,54","1.144,04","-","0,85%"
"02.10.2020","1.148,07","1.157,17","1.157,17","1.134,01","-","-2,25%"
"01.10.2020","1.174,49","1.181,29","1.191,19","1.170,72","-","-0,34%"
"30.09.2020","1.178,51","1.158,75","1.182,96","1.152,94","-","1,98%"
"29.09.2020","1.155,67","1.169,84","1.172,76","1.138,95","-","-0,96%"
"28.09.2020","1.166,86","1.171,87","1.178,65","1.163,08","-","0,19%"
"25.09.2020","1.164,68","1.189,40","1.193,58","1.160,28","-","-2,04%"
"24.09.2020","1.188,98","1.187,48","1.192,67","1.172,94","-","-0,57%"
"23.09.2020","1.195,77","1.214,29","1.225,06","1.195,77","-","0,23%"
"22.09.2020","1.193,06","1.189,37","1.209,03","1.182,04","-","1,00%"
"21.09.2020","1.181,24","1.225,32","1.225,99","1.176,63","-","-3,86%"
"18.09.2020","1.228,64","1.246,67","1.250,13","1.226,48","-","-1,18%"
"17.09.2020","1.243,29","1.238,42","1.246,02","1.232,82","-","-0,68%"
"16.09.2020","1.251,86","1.252,38","1.257,92","1.243,60","-","-0,15%"
"15.09.2020","1.253,68","1.229,16","1.253,68","1.227,94","-","2,05%"
"14.09.2020","1.228,48","1.224,14","1.239,42","1.218,41","-","0,44%"
"11.09.2020","1.223,05","1.210,12","1.225,59","1.207,27","-","0,53%"
"10.09.2020","1.216,59","1.207,98","1.220,27","1.191,89","-","1,27%"
"09.09.2020","1.201,34","1.189,69","1.206,04","1.187,98","-","1,00%"
"08.09.2020","1.189,47","1.221,35","1.225,16","1.183,78","-","-2,38%"
"07.09.2020","1.218,52","1.223,75","1.230,02","1.210,21","-","-0,12%"
"04.09.2020","1.220,01","1.222,21","1.236,65","1.214,72","-","-0,26%"
"03.09.2020","1.223,21","1.234,42","1.241,28","1.216,93","-","-0,94%"
"02.09.2020","1.234,82","1.280,08","1.283,69","1.229,50","-","-3,11%"
"01.09.2020","1.274,50","1.265,70","1.282,24","1.264,85","-","1,26%"
"31.08.2020","1.258,60","1.274,05","1.286,07","1.255,34","-","-0,55%"
"28.08.2020","1.265,62","1.267,38","1.271,32","1.254,83","-","0,06%"
"27.08.2020","1.264,86","1.274,80","1.279,20","1.258,69","-","-0,66%"
"26.08.2020","1.273,24","1.271,77","1.273,24","1.256,72","-","0,48%"
"25.08.2020","1.267,16","1.284,12","1.289,33","1.265,85","-","-1,12%"
"24.08.2020","1.281,52","1.265,93","1.288,15","1.265,93","-","1,55%"
"21.08.2020","1.262,01","1.286,60","1.291,23","1.252,91","-","-0,85%"
"20.08.2020","1.272,81","1.308,75","1.308,75","1.272,81","-","-3,31%"
"19.08.2020","1.316,32","1.312,48","1.322,48","1.308,09","-","0,37%"
"18.08.2020","1.311,52","1.306,53","1.322,99","1.303,30","-","0,21%"
"17.08.2020","1.308,71","1.327,78","1.336,58","1.301,03","-","-1,14%"
"14.08.2020","1.323,80","1.328,20","1.328,20","1.306,00","-","-0,18%"
"13.08.2020","1.326,13","1.306,74","1.326,13","1.304,59","-","1,45%"
"12.08.2020","1.307,12","1.288,04","1.307,12","1.283,60","-","0,86%"
"11.08.2020","1.296,01","1.268,93","1.301,19","1.268,93","-","2,21%"
